 1395651204.398116379 , 014.17 008.49 005.14 000.00 000.00 000.00 003.37 005.62 
 1395651204.498105286 , 014.26 008.42 005.36 000.00 000.00 000.00 003.42 005.64 
 1395651204.598098025 , 014.06 008.15 005.32 000.00 000.00 000.00 003.56 005.28 
 1395651204.698089305 , 014.52 007.95 005.27 000.00 000.00 000.00 003.77 005.31 
 1395651204.798076530 , 013.73 008.60 005.44 000.00 000.00 000.00 003.58 005.61 
 1395651204.898041618 , 013.98 008.59 005.43 000.00 000.00 000.00 003.53 005.27 
 1395651204.998023741 , 014.20 008.04 005.32 000.00 000.00 000.00 003.69 005.89 
 1395651205.97977237 , 014.23 008.38 005.50 000.00 000.00 000.00 003.91 005.76 
 1395651205.197936738 , 013.96 008.44 005.51 000.00 000.00 000.00 003.31 005.28 
 1395651205.297632447 , 014.14 008.42 005.06 000.00 000.00 000.00 003.38 005.38 
 1395651205.397618273 , 014.39 008.58 005.32 000.00 000.00 022.08 003.80 005.50 
 1395651205.498481936 , 013.92 008.58 005.59 000.00 000.00 000.00 003.61 005.55 
 1395651205.598525804 , 014.08 008.84 005.42 000.00 000.00 000.00 003.54 005.66 
 1395651205.697520934 , 013.92 008.89 005.27 000.00 000.00 000.00 003.56 005.56 
 1395651205.798294227 , 013.70 008.20 005.37 000.00 000.00 000.00 003.31 005.55 
 1395651205.898278796 , 014.11 008.26 005.42 000.00 000.00 000.00 003.60 005.68 
 1395651205.997858849 , 013.98 008.21 005.26 000.00 000.00 000.00 003.64 005.53 
 1395651206.97896572 , 014.20 008.14 005.23 000.00 000.00 022.16 003.39 005.78 
 1395651206.197908728 , 013.92 008.24 005.60 000.00 000.00 000.00 003.41 005.67 
 1395651206.297609888 , 014.44 008.44 005.61 000.00 000.00 022.16 003.21 005.53 
 1395651206.647510455 , 013.75 008.43 005.76 000.00 000.00 000.00 003.54 005.61 
 1395651206.697907230 , 014.31 008.48 005.15 000.00 000.00 000.00 003.65 005.52 
 1395651206.797740524 , 013.93 008.20 005.05 000.00 000.00 022.25 003.45 005.59 
 1395651206.897687171 , 014.14 008.53 005.48 000.00 000.00 000.00 003.58 005.73 
 1395651207.47976675 , 000.00 007.97 005.29 000.00 000.00 000.00 003.86 005.51 
 1395651207.148649392 , 013.68 008.18 005.00 000.00 000.00 000.00 003.06 004.58 
 1395651207.248314858 , 014.05 008.07 005.36 000.00 000.00 021.99 003.31 005.56 
 1395651207.348087326 , 014.26 008.53 005.26 000.00 000.00 000.00 003.51 005.89 
 1395651207.403242173 , 013.80 008.31 005.71 000.00 000.00 022.11 003.42 005.42 
 1395651207.548503033 , 014.06 008.31 005.10 000.00 000.00 000.00 003.38 005.75 
 1395651207.648489071 , 013.88 008.48 005.56 000.00 000.00 000.00 003.54 005.42 
 1395651207.748325791 , 014.40 008.34 005.25 000.00 000.00 022.30 003.04 005.73 
 1395651207.848211188 , 013.82 008.65 005.37 000.00 000.00 000.00 003.51 005.74 
 1395651207.948144564 , 013.98 008.16 005.27 000.00 000.00 022.27 003.35 005.44 
 1395651207.998490561 , 014.19 008.34 005.39 000.00 000.00 022.31 003.60 005.28 
 1395651208.98402572 , 014.02 008.31 005.50 000.00 000.00 022.08 003.65 005.50 
 1395651208.198257240 , 014.33 008.40 005.50 000.00 000.00 021.86 003.32 005.59 
 1395651208.297972569 , 013.66 008.31 004.81 000.00 000.00 022.22 003.62 005.53 
 1395651208.397902808 , 014.01 008.53 005.28 000.00 000.00 000.00 003.32 005.61 
 1395651208.497676526 , 013.80 008.31 005.60 000.00 000.00 000.00 003.42 005.69 
 1395651208.598636713 , 013.37 008.24 005.15 000.00 000.00 000.00 003.76 005.47 
 1395651208.698505279 , 013.65 008.67 005.39 000.00 000.00 000.00 003.40 005.25 
 1395651208.798253368 , 013.67 008.27 005.00 000.00 000.00 000.00 003.65 005.48 
 1395651208.898029465 , 014.15 008.31 005.14 000.00 000.00 022.39 003.58 005.87 
 1395651208.997651422 , 014.03 008.26 005.25 000.00 000.00 000.00 003.33 005.64 
 1395651209.98530799 , 014.02 008.16 005.50 000.00 000.00 022.28 003.53 005.46 
 1395651209.198450350 , 014.14 008.57 005.34 000.00 000.00 000.00 003.64 005.71 
 1395651209.298193062 , 013.92 008.16 005.27 000.00 000.00 000.00 003.71 005.75 
 1395651209.398009732 , 013.55 007.95 005.07 000.00 000.00 000.00 003.29 005.73 
 1395651209.497891221 , 013.51 008.08 005.65 000.00 000.00 000.00 003.37 005.42 
 1395651209.597779343 , 014.41 008.30 005.43 000.00 000.00 022.35 003.68 005.39 
 1395651209.698694895 , 013.75 008.47 005.25 000.00 000.00 000.00 003.54 005.47 
 1395651209.798619893 , 013.73 008.25 005.60 000.00 000.00 022.25 003.19 005.44 
 1395651209.898585678 , 014.11 008.59 005.57 000.00 000.00 022.21 003.51 005.48 
 1395651209.998566552 , 013.75 008.34 005.09 000.00 000.00 000.00 003.58 005.47 
 1395651210.98530728 , 013.80 008.40 005.42 000.00 000.00 021.99 003.38 005.73 
 1395651210.198494140 , 000.00 008.54 005.05 000.00 000.00 000.00 003.39 005.63 
 1395651210.298424304 , 013.52 008.04 005.14 000.00 000.00 021.92 003.55 005.46 
 1395651210.352115558 , 013.98 008.33 005.32 000.00 000.00 021.80 003.61 005.46 
 1395651210.498473279 , 013.71 008.09 005.46 000.00 000.00 021.94 003.22 005.41 
 1395651210.547721507 , 013.52 008.27 005.43 000.00 000.00 022.07 003.70 005.65 
 1395651210.648406452 , 014.17 008.19 005.14 000.00 000.00 021.96 003.61 005.36 
 1395651210.748126391 , 014.07 008.34 004.69 000.00 000.00 021.85 003.32 005.62 
 1395651210.847902210 , 013.93 008.23 005.01 000.00 000.00 021.93 003.46 005.63 
 1395651210.947696532 , 013.76 008.39 005.38 000.00 000.00 021.87 003.69 005.42 
 1395651211.48502720 , 013.90 008.12 005.42 000.00 000.00 000.00 003.49 005.75 
 1395651211.148417799 , 013.76 008.32 005.20 000.00 000.00 021.99 003.62 005.29 
 1395651211.202491715 , 013.90 008.55 005.68 000.00 000.00 022.06 003.54 005.50 
 1395651211.298325270 , 013.65 008.30 005.14 000.00 000.00 021.84 003.45 006.05 
 1395651211.398110166 , 013.38 008.25 005.24 000.00 000.00 000.00 003.44 005.53 
 1395651211.497672058 , 013.37 008.36 005.41 000.00 000.00 021.97 003.50 005.62 
 1395651211.598625401 , 013.33 008.15 005.30 000.00 000.00 022.08 003.50 005.61 
 1395651211.698489844 , 014.08 008.44 005.11 000.00 000.00 021.94 003.10 005.46 
 1395651211.798441170 , 013.69 007.99 005.14 000.00 000.00 021.85 003.61 005.73 
 1395651211.847687167 , 013.58 008.43 005.26 000.00 000.00 021.92 003.42 005.37 
 1395651211.948358979 , 013.98 008.27 005.50 000.00 000.00 022.15 003.64 005.38 
 1395651212.48057620 , 014.20 008.34 005.16 000.00 000.00 021.92 003.37 005.46 
 1395651212.147789438 , 013.62 008.13 005.42 000.00 000.00 021.91 003.33 005.37 
 1395651212.248615106 , 014.13 008.16 005.52 000.00 000.00 021.97 003.80 005.20 
 1395651212.301743651 , 013.92 008.38 004.97 000.00 000.00 021.88 003.88 005.70 
 1395651212.398581875 , 013.73 008.03 005.10 000.00 000.00 021.99 003.70 005.52 
 1395651212.498209699 , 013.96 008.36 005.00 000.00 000.00 022.02 003.57 005.28 
