x       y       z       w
-0.0151	-0.0186	-0.0005	0.9999
-0.9298	-0.0396	0.0114	0.9999
-1.9324	-0.0301	-0.0023	0.9999
-2.9051	0.0444	-0.0227	0.9997
-3.9185	0.0493	-0.0228	0.9997
-4.8861	0.0584	-0.0165	0.9998
-5.9108	0.0657	-0.0167	0.9998
-6.8978	0.0581	-0.0245	0.9996
-7.8981	0.0439	-0.0228	0.9997
-8.9278	0.0504	-0.0072	0.9999
-9.9140	0.0521	-0.0128	0.9999
0.0050	-0.9832	-0.0013	0.9999
-0.9727	-1.0018	-0.0026	0.9999
-1.9514	-0.9845	0.0041	0.9999
-2.9422	-0.9960	-0.0112	0.9999
-3.9589	-0.9735	-0.0082	0.9999
-4.9485	-0.9803	-0.0138	0.9999
-5.9405	-0.9849	-0.0009	0.9999
-6.9635	-0.9767	-0.0080	0.9999
-7.9593	-0.9589	0.0001	0.9999
-8.9477	-0.9685	-0.0117	0.9999
-9.9856	-0.9272	-0.0051	0.9999
0.0142	-1.9808	0.0054	0.9999
-0.9476	-1.9897	-0.0049	0.9999
-1.9237	-2.0018	-0.0146	0.9998
-2.9563	-1.9661	-0.0139	0.9999
-3.9496	-1.9605	-0.0099	0.9999
-4.9427	-1.9616	-0.0148	0.9998
-5.9214	-1.9737	-0.0073	0.9999
-6.9866	-1.9584	-0.0121	0.9999
-7.9834	-1.9440	-0.0091	0.9999
-8.9557	-1.9343	-0.0136	0.9999
-9.9811	-1.9070	-0.0154	0.9998
-0.0214	-3.0168	-0.0113	0.9999
-0.9454	-3.0167	-0.0061	0.9999
-1.9348	-3.0095	-0.0078	0.9999
-2.9747	-2.9935	-0.0083	0.9999
-3.9867	-2.9887	-0.0115	0.9999
-4.9625	-2.9600	0.0006	0.9999
-5.9576	-2.9640	-0.0006	0.9999
-6.9478	-2.9710	-0.0092	0.9999
-7.9656	-2.9814	-0.0119	0.9999
-8.9308	-2.9698	-0.0086	0.9999
-9.9664	-2.9737	-0.0023	0.9999
0.0206	-3.9989	-0.0017	0.9999
-0.9997	-3.9954	-0.0015	0.9999
-1.9915	-3.9837	-0.0096	0.9999
-2.9966	-3.9654	-0.0124	0.9999
-3.9640	-3.9410	-0.0156	0.9998
-5.0240	-3.9278	-0.0079	0.9999
-5.9838	-3.9555	-0.0154	0.9998
-6.9880	-3.9816	-0.0178	0.9998
-7.9747	-3.9679	-0.0012	0.9999
-9.0078	-3.9654	0.0116	0.9999
-9.9804	-3.9474	-0.0229	0.9997
0.0099	-4.9842	-0.0093	0.9999
-1.0057	-5.0025	-0.0122	0.9999
-1.9916	-5.0147	-0.0111	0.9999
-2.9863	-5.0001	-0.0176	0.9998
-3.9583	-4.9944	-0.0149	0.9998
-4.9832	-4.9759	-0.0080	0.9999
-5.9838	-4.9625	-0.0045	0.9999
-6.9966	-4.9496	-0.0016	0.9999	
-7.9720	-4.9470	-0.0058	0.9999
-8.9825	-4.9498	-0.0017	0.9999
-9.9677	-4.9468	-0.0163	0.9998
-0.0430	-5.9768	-0.0020	0.9999
-1.0943	-5.9975	-0.0260	0.9996
-2.0518	-5.9651	-0.0087	0.9999
-3.0535	-5.9457	-0.0188	0.9998
-4.0491	-5.9636	-0.0229	0.9997
-5.0281	-5.9531	-0.0193	0.9998
-5.9928	-5.9475	-0.0072	0.9999
-7.0371	-5.9324	0.0053	0.9999
-8.0594	-5.9361	0.0063	0.9999
-9.0203	-5.9490	0.0054	0.9999
-10.0225	-5.9511	-0.0190	0.9998
