 1395651757.548234787 , 008.08 012.48 008.30 004.87 004.87 002.72 015.37 013.89 
 1395651757.599477546 , 008.09 012.49 008.38 004.31 005.01 002.98 015.45 014.02 
 1395651757.698654056 , 008.16 013.09 008.17 004.69 004.82 003.12 015.34 013.71 
 1395651757.748198970 , 008.15 012.83 008.22 004.82 005.16 002.93 015.44 013.71 
 1395651757.798829080 , 007.94 012.35 008.16 004.83 005.02 002.87 015.51 013.39 
 1395651757.848375670 , 007.94 012.46 008.40 004.72 005.09 002.83 015.75 013.87 
 1395651757.899001599 , 008.07 013.37 008.36 004.66 005.03 002.59 015.34 013.62 
 1395651757.948630815 , 007.85 013.23 008.35 004.67 004.83 002.60 015.24 013.51 
 1395651758.48568798 , 008.02 013.86 008.21 004.82 004.69 002.44 015.26 013.52 
 1395651758.98161977 , 007.89 012.86 008.40 004.69 004.99 003.26 015.79 013.64 
 1395651758.423077740 , 007.97 012.53 008.32 004.77 004.91 003.09 015.35 013.50 
 1395651758.473664761 , 008.11 012.84 008.43 004.81 004.92 002.85 015.71 013.71 
 1395651758.573676293 , 008.06 012.86 008.60 004.86 005.01 003.41 015.61 013.60 
 1395651758.624278326 , 008.12 012.76 008.42 004.42 005.05 002.86 015.61 014.38 
 1395651758.673758432 , 008.13 012.64 008.48 004.34 005.25 003.08 015.66 000.00 
 1395651758.723278697 , 007.99 012.37 008.38 004.73 004.98 003.07 015.61 013.94 
 1395651758.779804247 , 008.17 012.54 008.57 004.65 004.97 003.04 015.52 014.21 
 1395651758.873708925 , 008.29 012.01 008.20 004.43 005.00 002.62 015.33 013.80 
 1395651758.923227936 , 007.98 012.43 008.31 004.63 004.93 002.70 015.69 013.98 
 1395651758.973699647 , 007.97 012.08 008.21 004.87 004.96 002.58 015.61 013.90 
 1395651759.23242050 , 008.11 012.24 008.26 004.69 004.93 003.26 015.53 013.87 
 1395651759.124240576 , 008.08 012.61 008.45 004.69 004.95 002.69 015.25 013.74 
 1395651759.173649652 , 008.13 012.59 008.51 004.86 004.65 002.92 015.43 013.53 
 1395651759.227648000 , 008.01 012.97 008.11 004.52 005.16 003.19 000.00 013.55 
 1395651759.323495803 , 008.04 012.47 008.08 004.67 004.87 003.05 015.52 013.50 
 1395651759.373987975 , 008.04 012.34 008.11 004.46 004.49 003.17 015.42 000.00 
 1395651759.423539951 , 008.02 012.84 008.24 004.58 004.95 003.08 015.65 013.46 
 1395651759.523461874 , 007.95 012.79 008.35 004.43 004.96 003.31 015.84 013.71 
 1395651759.573940639 , 007.89 012.65 008.08 004.91 004.90 002.57 015.90 000.00 
 1395651759.623455596 , 007.90 012.80 008.64 004.47 004.83 002.60 015.75 013.75 
 1395651759.723267798 , 007.99 012.85 008.39 004.91 004.86 002.82 015.79 000.00 
 1395651759.773745866 , 008.00 013.03 007.94 004.77 004.92 002.45 015.60 013.33 
 1395651759.823262147 , 007.99 012.86 008.12 004.68 004.87 002.55 015.64 013.52 
 1395651759.873743853 , 008.24 012.24 008.26 004.54 004.97 002.84 015.58 013.42 
 1395651759.923275216 , 007.93 012.68 008.27 004.72 005.01 003.30 015.71 013.42 
 1395651759.973749372 , 008.20 013.99 008.65 004.76 005.07 002.91 015.76 013.78 
 1395651760.73640495 , 008.26 013.19 008.33 004.41 004.94 002.96 015.43 013.50 
 1395651760.124236386 , 007.93 000.00 008.16 004.82 004.63 002.68 015.52 013.69 
 1395651760.173599714 , 008.08 013.72 008.49 004.77 004.92 002.72 015.80 013.42 
 1395651760.224197422 , 008.03 013.14 008.35 004.58 004.56 003.12 015.71 013.43 
 1395651760.373643315 , 008.11 012.73 008.13 004.33 004.88 000.00 015.48 013.92 
 1395651760.425470014 , 008.27 012.82 008.44 004.69 004.97 002.95 015.57 013.76 
 1395651760.523364096 , 008.30 012.76 008.11 004.75 004.81 002.70 015.62 013.33 
 1395651760.573814086 , 008.22 012.82 008.66 004.68 004.88 002.83 015.60 013.24 
 1395651760.623329881 , 008.12 013.39 008.73 004.56 005.11 003.27 015.74 013.37 
 1395651760.673696064 , 008.10 013.00 008.40 004.52 004.77 003.20 015.75 013.46 
 1395651760.723217514 , 007.94 013.62 008.12 004.86 004.97 002.96 015.48 013.51 
 1395651760.773664988 , 008.32 013.43 008.17 004.68 005.11 002.28 015.61 013.60 
 1395651760.828217529 , 008.17 013.09 008.14 004.91 004.88 003.06 015.62 013.70 
 1395651760.924184550 , 008.34 013.03 008.06 000.00 004.94 002.68 015.83 013.19 
 1395651760.973634411 , 007.94 012.54 008.04 004.86 004.63 003.10 015.68 013.78 
 1395651761.24232541 , 008.04 013.23 008.08 004.79 004.88 002.45 015.31 014.15 
 1395651761.74968322 , 008.11 013.14 008.10 004.51 004.97 002.82 015.53 014.08 
 1395651761.173782774 , 008.26 012.36 008.31 004.60 004.74 002.53 015.69 013.66 
 1395651761.223303875 , 008.38 013.45 008.03 004.81 005.03 003.32 015.57 013.64 
 1395651761.273745831 , 008.04 012.30 008.14 004.46 005.09 002.58 015.31 013.56 
 1395651761.323265886 , 007.98 013.00 008.13 004.43 004.82 002.94 015.46 013.37 
 1395651761.373708403 , 008.25 012.89 008.57 004.78 004.70 002.81 015.48 013.37 
 1395651761.425720672 , 008.27 013.62 008.25 004.38 004.88 003.38 015.43 013.45 
 1395651761.523663155 , 007.99 012.92 008.16 004.41 004.97 002.67 015.52 013.55 
 1395651761.574089056 , 008.20 000.00 008.38 004.46 004.88 002.60 015.58 013.48 
 1395651761.623682651 , 008.11 012.68 008.25 004.70 004.88 002.55 015.52 013.51 
 1395651761.674069716 , 007.97 013.38 008.39 004.84 004.92 002.43 015.62 013.79 
 1395651761.774017896 , 008.22 012.21 008.29 004.78 005.16 003.41 015.69 013.76 
 1395651761.823535782 , 008.29 012.62 008.25 004.66 004.90 002.30 015.63 014.11 
 1395651761.873952395 , 008.26 012.79 008.21 004.48 004.79 003.14 015.47 014.49 
 1395651761.923468050 , 008.06 012.75 008.31 004.47 004.93 002.96 015.72 014.15 
 1395651762.23335288 , 008.27 000.00 008.21 004.48 004.84 002.81 015.52 013.70 
 1395651762.73756153 , 008.15 012.66 008.27 004.45 005.24 003.18 015.57 013.48 
 1395651762.123270895 , 008.04 013.61 008.16 004.69 004.84 003.14 015.46 013.65 
 1395651762.224161244 , 008.22 000.00 008.54 004.58 005.03 002.66 015.50 013.93 
 1395651762.273583245 , 008.16 013.19 008.50 004.65 005.09 002.75 015.65 000.00 
 1395651762.373479179 , 007.93 013.20 007.97 004.70 004.99 002.95 015.51 000.00 
 1395651762.424072769 , 008.35 012.85 008.21 004.66 004.91 002.72 015.57 013.82 
 1395651762.473483796 , 008.13 012.25 008.58 004.55 004.92 003.28 015.50 013.56 
